Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml),Dietary_Tags,Season,Cooking_Method,Portion_Size
Banana (Extra Large portion),Fruit,176,2.1,40.3,0.6,11.2,11.4,167,0,Breakfast,350,gluten-free,Fall,Grilled,Extra Large
Protein Bar High-Fiber (Small portion),Supplement/Processed,160,15.3,15.8,4.6,1.9,6.8,1188,0,Snack,100,gluten-free,Spring,Baked,Small
Banana Low-Carb (Small portion),Fruit,75,0.9,18,0.3,4.3,4.3,188,0,Breakfast,250,gluten-free,All Year,Grilled,Small
Veggie Burger Light (Standard portion),Protein/Vegetarian,110,10.9,10.6,3.7,2.6,4.1,237,0,Lunch,400,"vegetarian,vegan,gluten-free",Winter,Boiled,Standard
Chicken Breast Light (Extra Large portion),Protein/Meat,304,55.3,0,6.8,0,0,88,160,Dinner,250,"high-protein,low-carb,gluten-free",Summer,Grilled,Extra Large
Banana with Vegetables (Extra Large portion),Fruit,184,2.2,45.8,0.6,10.2,20,251,0,Breakfast,500,gluten-free,Winter,Boiled,Extra Large
Beef Steak Asian Style (Small portion),Protein/Meat,200,31.3,0,7.4,0,0,199,164,Dinner,400,"high-protein,low-carb,gluten-free",All Year,Roasted,Small
Stir Fry Tofu Spicy (Standard portion),Meal/Vegetarian,438,19.2,28.8,21.2,5.8,11.3,501,0,Dinner,300,"vegetarian,vegan,gluten-free",Winter,Steamed,Standard
Vegetable Curry Mediterranean Style (Extra Large portion),Meal/Vegetable,496,16.6,67.8,24.6,14.8,21.4,231,0,Dinner,350,gluten-free,Summer,Boiled,Extra Large
Quinoa Bowl (Small portion),Meal/Grain,268,9.6,39.4,7.8,9.7,18.8,693,0,Lunch,400,gluten-free,All Year,Baked,Small
Cottage Cheese with Vegetables (Large portion),Dairy,105,14,6.6,4,0.9,2.6,160,95,Snack,250,"low-carb,gluten-free",Summer,Grilled,Large
Apple with Cheese (Extra Large portion),Fruit,151,0.8,38.1,0.4,7,15.2,102,0,Snack,150,gluten-free,Fall,Boiled,Extra Large
Greek Yogurt Mexican Style (Standard portion),Dairy,68,13.7,3.6,1.5,0.6,1.2,66,149,Breakfast,500,"low-carb,gluten-free",Fall,Pan-fried,Standard
Veggie Burger with Avocado (Small portion),Protein/Vegetarian,91,8.4,7.5,2.6,1.7,2.8,206,0,Lunch,350,"low-carb,vegetarian,vegan",Winter,Pan-fried,Small
Protein Bar with Cheese (Large portion),Supplement/Processed,277,23.8,26.3,8.6,5.9,7.6,797,0,Snack,150,"high-protein,gluten-free",Spring,Pan-fried,Large
Salmon with Vegetables (Small portion),Protein/Fish,148,19.2,0,9.3,0,0,121,76,Dinner,350,"low-carb,gluten-free",All Year,Steamed,Small
Oatmeal (Extra Large portion),Grain,125,4.7,21.9,2.2,5.7,8.4,143,0,Breakfast,400,gluten-free,All Year,Grilled,Extra Large
Oatmeal Mediterranean Style (Large portion),Grain,103,3.6,17.7,1.9,5.1,5.3,159,0,Breakfast,500,gluten-free,Winter,Raw,Large
Lentil Soup with Vegetables (Extra Large portion),Meal/Legume,354,25.4,54.2,5,14.5,12,213,0,Lunch,350,"high-protein,gluten-free",All Year,Baked,Extra Large
Veggie Burger with Vegetables (Small portion),Protein/Vegetarian,88,8.4,6.6,2.8,0.7,2.9,219,0,Lunch,350,"low-carb,vegetarian,vegan",Summer,Pan-fried,Small
Avocado Toast Light (Extra Large portion),Meal/Vegetarian,407,12.2,46.4,24.1,8.9,18.6,275,0,Breakfast,350,"vegetarian,gluten-free",Fall,Boiled,Extra Large
Protein Bar Asian Style (Standard portion),Supplement/Processed,219,18.8,21.1,7.3,4.1,9.2,999,0,Snack,250,gluten-free,Winter,Steamed,Standard
Whole Wheat Toast Light (Standard portion),Grain,75,4.2,13.2,0.9,1.6,5.5,253,0,Breakfast,500,gluten-free,Summer,Baked,Standard
Grilled Chicken Salad (Large portion),Meal/Protein,490,37.6,12.4,27.9,2.5,3.2,564,58,Lunch,500,"high-protein,gluten-free",Fall,Grilled,Large
Stir Fry Tofu Low-Carb (Extra Large portion),Meal/Vegetarian,671,29.6,44.9,34.4,9,14.6,328,0,Dinner,400,"high-protein,vegetarian,vegan",All Year,Boiled,Extra Large
Apple Spicy (Extra Large portion),Fruit,159,0.7,41.1,0.5,12.2,13.2,68,0,Snack,200,gluten-free,Fall,Grilled,Extra Large
Grilled Chicken Salad with Cheese (Extra Large portion),Meal/Protein,599,50.5,16.3,34.3,3.4,5.4,228,100,Lunch,250,"high-protein,gluten-free",All Year,Raw,Extra Large
Turkey Sandwich Mediterranean Style (Standard portion),Meal/Processed,308,22.1,36.5,11.1,10,17.6,1063,166,Lunch,500,"high-protein,gluten-free",Winter,Baked,Standard
Vegetable Curry Light (Small portion),Meal/Vegetable,241,6.9,28.6,11.5,6.5,12.8,451,0,Dinner,400,gluten-free,Summer,Grilled,Small
Scrambled Eggs (Small portion),Protein/Dairy,64,3.9,0.6,5.2,0.1,0.3,96,91,Breakfast,500,"low-carb,gluten-free",Summer,Raw,Small
Almonds Asian Style (Standard portion),Nut,154,6.3,5.6,13.3,1,1.1,299,0,Snack,250,"low-carb,gluten-free",All Year,Raw,Standard
Spaghetti Bolognese with Vegetables (Extra Large portion),Meal/Pasta,730,32.3,89.8,27.6,24.1,23.9,649,0,Dinner,300,"high-protein,gluten-free",Winter,Raw,Extra Large
Salmon High-Fiber (Standard portion),Protein/Fish,242,23.7,0,15.1,0,0,172,154,Dinner,400,"high-protein,low-carb,gluten-free",All Year,Raw,Standard
Tuna Salad Light (Extra Large portion),Meal/Fish,288,27.5,3.2,17.4,0.6,1.3,326,161,Lunch,500,"high-protein,low-carb,gluten-free",Spring,Boiled,Extra Large
Veggie Burger Spicy (Small portion),Protein/Vegetarian,78,8.2,7.3,3,1.9,3.2,226,0,Lunch,350,"low-carb,vegetarian,vegan",Spring,Roasted,Small
Whole Wheat Toast (Standard portion),Grain,72,3.7,13,1,1.9,5.7,242,0,Breakfast,300,gluten-free,Fall,Steamed,Standard
Grilled Chicken Salad with Cheese (Standard portion),Meal/Protein,348,29.4,9.2,18.5,1.9,2.4,702,116,Lunch,500,"high-protein,low-carb,gluten-free",Fall,Raw,Standard
Quinoa Bowl High-Fiber (Standard portion),Meal/Grain,410,15.8,56.4,10.9,16.4,11.5,613,0,Lunch,300,gluten-free,Summer,Raw,Standard
Apple Spicy (Small portion),Fruit,67,0.3,16.9,0.2,3.1,7.3,179,0,Snack,200,gluten-free,Fall,Raw,Small
Banana Extra Protein (Extra Large portion),Fruit,172,2.1,43.8,0.7,6.9,15.8,289,0,Breakfast,300,gluten-free,All Year,Steamed,Extra Large
Lentil Soup Spicy (Large portion),Meal/Legume,296,17.9,48.9,3.5,7.6,11.6,755,0,Lunch,250,gluten-free,Spring,Steamed,Large
Almonds Mediterranean Style (Small portion),Nut,125,3.9,4,10.1,0.6,0.9,244,0,Snack,150,"low-carb,gluten-free",Fall,Pan-fried,Small
Vegetable Curry Light (Extra Large portion),Meal/Vegetable,487,16.1,65.8,21.8,8.9,19.5,582,0,Dinner,350,gluten-free,Spring,Raw,Extra Large
Veggie Burger Extra Protein (Standard portion),Protein/Vegetarian,128,11.3,9.7,3.6,2.1,2.9,86,0,Lunch,500,"low-carb,vegetarian,vegan",All Year,Boiled,Standard
Banana Extra Protein (Small portion),Fruit,78,0.8,20.6,0.3,4.1,10.3,14,0,Breakfast,500,gluten-free,All Year,Raw,Small
Protein Bar Extra Protein (Small portion),Supplement/Processed,152,13.4,16.5,5.1,2.9,5.7,526,0,Snack,100,gluten-free,Summer,Grilled,Small
Grilled Chicken Salad with Cheese (Small portion),Meal/Protein,266,20.1,7.3,12.8,1.2,2,572,78,Lunch,300,"high-protein,low-carb,gluten-free",Spring,Steamed,Small
Cottage Cheese Spicy (Large portion),Dairy,119,14.8,6.5,3.5,1.9,2.4,192,163,Snack,150,"low-carb,gluten-free",Winter,Pan-fried,Large
Spaghetti Bolognese Mexican Style (Extra Large portion),Meal/Pasta,742,29.1,86.9,27.1,22.5,35.2,591,0,Dinner,350,"high-protein,gluten-free",Winter,Roasted,Extra Large
Cottage Cheese with Vegetables (Standard portion),Dairy,84,11.9,4.7,3,1.3,2,166,99,Snack,250,"low-carb,gluten-free",Winter,Raw,Standard
Chicken Breast Low-Carb (Large portion),Protein/Meat,226,45.6,0,5.6,0,0,268,55,Dinner,350,"high-protein,low-carb,gluten-free",Summer,Pan-fried,Large
Protein Shake with Cheese (Large portion),Supplement,166,32.7,3.6,1.4,0.9,0.9,291,0,Breakfast,500,"high-protein,low-carb,gluten-free",Fall,Roasted,Large
Hummus Mediterranean Style (Extra Large portion),Legume,111,3.3,6.9,8.7,1.6,2,222,0,Snack,0,"low-carb,gluten-free",Summer,Steamed,Extra Large
Grilled Chicken Salad Mediterranean Style (Large portion),Meal/Protein,455,42.7,13.5,28.5,3.1,6.3,210,180,Lunch,500,"high-protein,gluten-free",Fall,Boiled,Large
Tuna Salad Italian Style (Large portion),Meal/Fish,250,22.8,2.7,16.2,0.8,0.7,724,191,Lunch,300,"high-protein,low-carb,gluten-free",Winter,Steamed,Large
Salmon with Vegetables (Extra Large portion),Protein/Fish,390,41.1,0,23.7,0,0,169,45,Dinner,350,"high-protein,low-carb,gluten-free",Fall,Steamed,Extra Large
Hummus Low-Carb (Small portion),Legume,46,1.5,2.8,3.7,0.7,1.2,79,0,Snack,0,"low-carb,gluten-free",Spring,Pan-fried,Small
Turkey Sandwich with Cheese (Standard portion),Meal/Processed,350,22.3,31.8,12.7,4.4,13.4,925,149,Lunch,400,"high-protein,gluten-free",Spring,Baked,Standard
Grilled Chicken Salad Extra Protein (Small portion),Meal/Protein,264,19.8,6.4,13.8,1.6,1.5,544,183,Lunch,250,"low-carb,gluten-free",Fall,Pan-fried,Small
Hummus Spicy (Small portion),Legume,51,1.4,3,3.8,0.7,0.9,230,0,Snack,100,"low-carb,gluten-free",Fall,Baked,Small
Vegetable Curry with Cheese (Small portion),Meal/Vegetable,231,6.8,27.1,10.6,7.6,7.8,774,0,Dinner,350,gluten-free,Spring,Steamed,Small
Veggie Burger Italian Style (Large portion),Protein/Vegetarian,151,15.7,12.3,5.6,2.2,3.7,181,0,Lunch,400,"vegetarian,vegan,gluten-free",Winter,Grilled,Large
Apple with Avocado (Small portion),Fruit,64,0.4,18.9,0.2,4.3,8.7,252,0,Snack,200,gluten-free,All Year,Pan-fried,Small
Protein Bar Light (Standard portion),Supplement/Processed,200,19.3,23.6,6.9,4.9,6.2,756,0,Snack,200,gluten-free,Spring,Roasted,Standard
Hummus Light (Standard portion),Legume,70,1.8,4.3,5,0.8,1.1,90,0,Snack,0,"low-carb,gluten-free",Summer,Boiled,Standard
Almonds Italian Style (Extra Large portion),Nut,286,8.9,9,22.2,1,2,207,0,Snack,200,"low-carb,gluten-free",All Year,Roasted,Extra Large
Apple Spicy (Extra Large portion),Fruit,152,0.8,40.6,0.5,6.5,14.1,142,0,Snack,250,gluten-free,Winter,Raw,Extra Large
Veggie Burger Light (Standard portion),Protein/Vegetarian,116,11.1,10.8,3.7,2,3.9,60,0,Lunch,400,"vegetarian,vegan,gluten-free",Summer,Raw,Standard
Turkey Sandwich with Avocado (Small portion),Meal/Processed,249,15.8,24.7,9.1,4.9,5.7,776,22,Lunch,350,gluten-free,All Year,Grilled,Small
Turkey Sandwich Mexican Style (Standard portion),Meal/Processed,345,22.7,34.1,11.8,4.7,11.2,531,178,Lunch,250,"high-protein,gluten-free",Spring,Steamed,Standard
Tuna Salad Mexican Style (Large portion),Meal/Fish,235,26,2.5,16.6,0.4,0.8,463,124,Lunch,500,"high-protein,low-carb,gluten-free",Summer,Raw,Large
Spaghetti Bolognese Asian Style (Extra Large portion),Meal/Pasta,709,29.6,90.2,26.7,10.9,26.5,469,0,Dinner,350,"high-protein,gluten-free",Winter,Pan-fried,Extra Large
Whole Wheat Toast Extra Protein (Standard portion),Grain,77,4.1,12.9,1.1,3.8,5.9,150,0,Breakfast,400,gluten-free,Fall,Baked,Standard
Protein Shake Extra Protein (Large portion),Supplement,166,29.1,4.2,1.4,0.5,1.1,102,0,Breakfast,250,"high-protein,low-carb,gluten-free",Summer,Raw,Large
Protein Bar Spicy (Small portion),Supplement/Processed,149,13.2,15.8,4.5,3.5,4.2,730,0,Snack,150,gluten-free,Winter,Pan-fried,Small
Veggie Burger with Avocado (Standard portion),Protein/Vegetarian,123,11.8,9.3,3.6,2,4,106,0,Lunch,500,"low-carb,vegetarian,vegan",Spring,Raw,Standard
Hummus Spicy (Standard portion),Legume,71,2,4.1,5.2,1.2,1.2,295,0,Snack,150,"low-carb,gluten-free",Winter,Steamed,Standard
Quinoa Bowl High-Fiber (Small portion),Meal/Grain,301,10.1,42,7.8,9.1,13.6,468,0,Lunch,300,gluten-free,Fall,Steamed,Small
Quinoa Bowl Italian Style (Small portion),Meal/Grain,267,11,35.8,8.3,10.6,17.4,273,0,Lunch,250,gluten-free,Winter,Pan-fried,Small
Lentil Soup Mexican Style (Small portion),Meal/Legume,151,10.7,25.4,1.9,4.2,10,201,0,Lunch,350,gluten-free,Summer,Boiled,Small
Grilled Chicken Salad with Avocado (Standard portion),Meal/Protein,323,28.1,9.9,20.1,2.9,2.5,399,114,Lunch,350,"high-protein,low-carb,gluten-free",Spring,Steamed,Standard
Beef Steak Mexican Style (Small portion),Protein/Meat,180,29.4,0,7.2,0,0,159,186,Dinner,500,"high-protein,low-carb,gluten-free",Winter,Boiled,Small
Tuna Salad Asian Style (Standard portion),Meal/Fish,203,17.9,2.1,11.3,0.4,0.6,778,68,Lunch,500,"low-carb,gluten-free",All Year,Baked,Standard
Almonds Mexican Style (Small portion),Nut,105,4.6,4,10.7,0.6,1.6,47,0,Snack,250,"low-carb,gluten-free",Fall,Raw,Small
Whole Wheat Toast Extra Protein (Standard portion),Grain,80,3.8,15,0.9,2.2,6.6,185,0,Breakfast,300,gluten-free,Summer,Baked,Standard
Greek Yogurt Mediterranean Style (Standard portion),Dairy,80,11.9,4.2,1.5,0.5,1.1,8,84,Breakfast,400,"low-carb,gluten-free",Winter,Boiled,Standard
Vegetable Curry Extra Protein (Extra Large portion),Meal/Vegetable,553,15.4,57.8,24,6.1,19.1,492,0,Dinner,400,gluten-free,Summer,Steamed,Extra Large
Vegetable Curry with Vegetables (Extra Large portion),Meal/Vegetable,541,14.6,63,23.3,11.8,20.7,244,0,Dinner,400,gluten-free,Summer,Roasted,Extra Large
Scrambled Eggs Mexican Style (Large portion),Protein/Dairy,114,7.1,1.3,8.9,0.2,0.6,128,190,Breakfast,300,"low-carb,gluten-free",Winter,Pan-fried,Large
Oatmeal Light (Extra Large portion),Grain,136,4.8,24.5,2.4,5.5,11,130,0,Breakfast,500,gluten-free,All Year,Steamed,Extra Large
Avocado Toast Mexican Style (Large portion),Meal/Vegetarian,325,9.9,34.3,19.3,5.2,15.8,641,0,Breakfast,350,"vegetarian,gluten-free",Summer,Raw,Large
Banana Mexican Style (Large portion),Fruit,141,1.6,32.3,0.6,6.6,15.4,133,0,Breakfast,350,gluten-free,Summer,Steamed,Large
Spaghetti Bolognese Asian Style (Small portion),Meal/Pasta,352,13.4,39.8,11.7,7.2,17,484,0,Dinner,300,gluten-free,Fall,Raw,Small
Chicken Breast High-Fiber (Large portion),Protein/Meat,219,49.3,0,4.9,0,0,85,122,Dinner,350,"high-protein,low-carb,gluten-free",Spring,Pan-fried,Large
Quinoa Bowl Spicy (Small portion),Meal/Grain,255,9.5,36.8,9,8.9,9.2,282,0,Lunch,500,gluten-free,Fall,Roasted,Small
Chicken Breast Mediterranean Style (Large portion),Protein/Meat,258,42.2,0,5.1,0,0,193,74,Dinner,250,"high-protein,low-carb,gluten-free",Spring,Pan-fried,Large
Oatmeal with Avocado (Standard portion),Grain,75,2.9,13,1.6,1.6,4.3,206,0,Breakfast,300,gluten-free,Winter,Grilled,Standard
Grilled Chicken Salad Mexican Style (Small portion),Meal/Protein,238,19.3,6.8,13,1.3,3.2,730,200,Lunch,350,"low-carb,gluten-free",Winter,Pan-fried,Small
Tuna Salad Spicy (Extra Large portion),Meal/Fish,291,28,3.3,19.5,0.7,1.5,521,162,Lunch,400,"high-protein,low-carb,gluten-free",Summer,Steamed,Extra Large
Tuna Salad High-Fiber (Small portion),Meal/Fish,129,12.3,1.3,7.8,0.2,0.5,604,155,Lunch,300,"low-carb,gluten-free",Spring,Roasted,Small
Beef Steak Light (Standard portion),Protein/Meat,267,44.7,0,10.4,0,0,271,52,Dinner,400,"high-protein,low-carb,gluten-free",Summer,Raw,Standard
Salmon High-Fiber (Small portion),Protein/Fish,162,18.7,0,10.3,0,0,259,180,Dinner,350,"low-carb,gluten-free",Winter,Grilled,Small
Protein Bar Spicy (Extra Large portion),Supplement/Processed,336,30.5,38.5,11.5,8.5,13.7,839,0,Snack,0,"high-protein,gluten-free",Winter,Boiled,Extra Large
Salmon Low-Carb (Small portion),Protein/Fish,173,18.7,0,10.5,0,0,48,141,Dinner,300,"low-carb,gluten-free",All Year,Roasted,Small
Lentil Soup Mediterranean Style (Large portion),Meal/Legume,308,17.9,41.2,3.8,11.6,16.8,793,0,Lunch,400,gluten-free,All Year,Steamed,Large
Cottage Cheese Spicy (Standard portion),Dairy,85,11.7,4.9,3,0.8,2.2,181,113,Snack,0,"low-carb,gluten-free",All Year,Boiled,Standard
Hummus Mediterranean Style (Small portion),Legume,46,1.5,3.1,3.8,0.6,1.2,149,0,Snack,100,"low-carb,gluten-free",Spring,Grilled,Small
Vegetable Curry (Extra Large portion),Meal/Vegetable,517,15.6,58,25.5,7.1,19.7,555,0,Dinner,500,gluten-free,All Year,Boiled,Extra Large
Avocado Toast with Cheese (Standard portion),Meal/Vegetarian,259,6.4,28.2,15.7,6.1,12.5,785,0,Breakfast,500,"vegetarian,gluten-free",All Year,Baked,Standard
Beef Steak Mexican Style (Extra Large portion),Protein/Meat,401,64.9,0,17.2,0,0,114,98,Dinner,350,"high-protein,low-carb,gluten-free",Winter,Pan-fried,Extra Large
Grilled Chicken Salad Mediterranean Style (Extra Large portion),Meal/Protein,532,45.7,16.2,33.6,3.2,6.5,267,131,Lunch,300,"high-protein,gluten-free",All Year,Boiled,Extra Large
Vegetable Curry High-Fiber (Large portion),Meal/Vegetable,421,13.6,49.4,20.4,10.6,20.5,516,0,Dinner,500,gluten-free,Winter,Raw,Large
Avocado Toast High-Fiber (Small portion),Meal/Vegetarian,175,4.5,20.7,9.6,5.1,4.5,500,0,Breakfast,350,"vegetarian,gluten-free",Summer,Boiled,Small
Veggie Burger with Vegetables (Small portion),Protein/Vegetarian,84,8.5,6.3,3,0.8,1.6,138,0,Lunch,350,"low-carb,vegetarian,vegan",Winter,Roasted,Small
Turkey Sandwich Spicy (Extra Large portion),Meal/Processed,567,33.7,52.6,19.3,6.4,14.8,1102,35,Lunch,500,"high-protein,gluten-free",Spring,Baked,Extra Large
Salmon with Vegetables (Standard portion),Protein/Fish,224,22.8,0,12.7,0,0,226,155,Dinner,300,"high-protein,low-carb,gluten-free",Summer,Grilled,Standard
Tuna Salad (Small portion),Meal/Fish,121,12.6,1.4,8.3,0.4,0.6,569,73,Lunch,400,"low-carb,gluten-free",Summer,Boiled,Small
Whole Wheat Toast Extra Protein (Small portion),Grain,57,2.8,9.1,0.7,1.7,4.4,235,0,Breakfast,400,"low-carb,gluten-free",Spring,Roasted,Small
Greek Yogurt (Small portion),Dairy,48,9.3,2.8,1,0.4,0.6,258,40,Breakfast,250,"low-carb,gluten-free",Spring,Boiled,Small
Spaghetti Bolognese Italian Style (Large portion),Meal/Pasta,613,26.3,70.6,24.5,15.5,18.1,432,0,Dinner,400,"high-protein,gluten-free",Winter,Roasted,Large
Salmon High-Fiber (Large portion),Protein/Fish,302,30.2,0,17.4,0,0,300,52,Dinner,300,"high-protein,low-carb,gluten-free",Spring,Boiled,Large
Cottage Cheese Extra Protein (Small portion),Dairy,63,8.2,3.4,2.1,0.8,0.8,61,138,Snack,200,"low-carb,gluten-free",Fall,Roasted,Small
Salmon Extra Protein (Extra Large portion),Protein/Fish,401,43.1,0,24,0,0,251,56,Dinner,400,"high-protein,low-carb,gluten-free",Fall,Raw,Extra Large
Stir Fry Tofu Mediterranean Style (Small portion),Meal/Vegetarian,299,13.4,19.5,15.2,5.1,5.3,549,0,Dinner,350,"vegetarian,vegan,gluten-free",Fall,Pan-fried,Small
Hummus Spicy (Standard portion),Legume,67,2.1,3.8,5.1,0.8,1.4,215,0,Snack,200,"low-carb,gluten-free",All Year,Raw,Standard
Protein Shake Mexican Style (Extra Large portion),Supplement,180,42.1,4.8,1.7,0.6,1.7,220,0,Breakfast,500,"high-protein,low-carb,gluten-free",Summer,Raw,Extra Large
Oatmeal Italian Style (Standard portion),Grain,81,3.1,14,1.5,3.6,5.8,44,0,Breakfast,250,gluten-free,Spring,Pan-fried,Standard
Almonds with Cheese (Small portion),Nut,106,4.4,4.2,10.4,0.6,2,224,0,Snack,250,"low-carb,gluten-free",Summer,Raw,Small
Greek Yogurt Low-Carb (Extra Large portion),Dairy,111,21.3,6.8,2.6,1,3.4,158,88,Breakfast,400,"high-protein,low-carb,gluten-free",Winter,Roasted,Extra Large
Scrambled Eggs (Standard portion),Protein/Dairy,92,5.8,1.1,7.7,0.1,0.4,80,127,Breakfast,300,"low-carb,gluten-free",Summer,Baked,Standard
Oatmeal with Cheese (Small portion),Grain,50,2.3,9.2,1,1.3,2.3,169,0,Breakfast,400,"low-carb,gluten-free",Summer,Baked,Small
Cottage Cheese Mexican Style (Large portion),Dairy,119,16.6,6.4,4,1.7,2.4,40,26,Snack,250,"low-carb,gluten-free",Spring,Roasted,Large
Grilled Chicken Salad Extra Protein (Extra Large portion),Meal/Protein,555,47.9,17.4,33.2,1.8,6.7,612,193,Lunch,400,"high-protein,gluten-free",Fall,Grilled,Extra Large
Quinoa Bowl Light (Large portion),Meal/Grain,490,19.4,70.7,15,11.3,16.6,682,0,Lunch,350,gluten-free,All Year,Pan-fried,Large
Almonds with Avocado (Extra Large portion),Nut,241,10,10.3,20.4,1.4,2.8,272,0,Snack,150,gluten-free,All Year,Grilled,Extra Large
Protein Shake Asian Style (Large portion),Supplement,145,30,4.2,1.2,0.9,1,19,0,Breakfast,350,"high-protein,low-carb,gluten-free",Spring,Baked,Large
Tuna Salad with Vegetables (Large portion),Meal/Fish,246,26.5,2.7,16.2,0.7,1.3,457,31,Lunch,250,"high-protein,low-carb,gluten-free",Winter,Roasted,Large
Avocado Toast with Avocado (Small portion),Meal/Vegetarian,194,4.8,18.1,9.8,3.1,5.6,672,0,Breakfast,500,"vegetarian,gluten-free",Winter,Baked,Small
Whole Wheat Toast Mexican Style (Standard portion),Grain,80,3.7,14.3,0.9,2.2,6.8,259,0,Breakfast,300,gluten-free,All Year,Boiled,Standard
Oatmeal with Cheese (Standard portion),Grain,82,3.3,14.3,1.6,2.5,3.7,48,0,Breakfast,250,gluten-free,Winter,Steamed,Standard
Beef Steak Light (Standard portion),Protein/Meat,252,45.9,0,10.5,0,0,274,181,Dinner,250,"high-protein,low-carb,gluten-free",Winter,Roasted,Standard
Quinoa Bowl Low-Carb (Standard portion),Meal/Grain,384,15.1,49.5,11.1,14.4,14.8,565,0,Lunch,350,gluten-free,All Year,Roasted,Standard
Chicken Breast Italian Style (Standard portion),Protein/Meat,178,33.9,0,4.3,0,0,186,119,Dinner,300,"high-protein,low-carb,gluten-free",All Year,Baked,Standard
Protein Shake Mediterranean Style (Extra Large portion),Supplement,189,37.1,5.1,1.7,1,1.5,255,0,Breakfast,300,"high-protein,low-carb,gluten-free",Winter,Raw,Extra Large
Quinoa Bowl Low-Carb (Large portion),Meal/Grain,477,17.8,68.4,14.2,14.6,24.8,243,0,Lunch,500,gluten-free,Spring,Boiled,Large
Protein Shake with Avocado (Large portion),Supplement,155,31.6,4.2,1.2,0.7,2.1,154,0,Breakfast,250,"high-protein,low-carb,gluten-free",All Year,Baked,Large
Chicken Breast Mediterranean Style (Large portion),Protein/Meat,220,49.8,0,4.8,0,0,204,72,Dinner,350,"high-protein,low-carb,gluten-free",Winter,Grilled,Large
Turkey Sandwich Mexican Style (Standard portion),Meal/Processed,369,22.1,36.4,10.8,8.6,7.7,1085,112,Lunch,300,"high-protein,gluten-free",Winter,Pan-fried,Standard
Protein Bar Mexican Style (Extra Large portion),Supplement/Processed,340,34.8,38.4,10.5,5.1,15.3,1182,0,Snack,200,"high-protein,gluten-free",Winter,Boiled,Extra Large
Hummus Spicy (Small portion),Legume,44,1.3,2.8,3.2,0.4,1.3,4,0,Snack,150,"low-carb,gluten-free",Winter,Grilled,Small
Apple Spicy (Extra Large portion),Fruit,161,0.8,40.1,0.5,6.6,9,262,0,Snack,200,gluten-free,Fall,Grilled,Extra Large
Quinoa Bowl (Extra Large portion),Meal/Grain,697,24.8,95.2,20.5,20.3,20,750,0,Lunch,300,"high-protein,gluten-free",All Year,Raw,Extra Large
Protein Bar (Small portion),Supplement/Processed,147,14.8,15.2,4.6,3.6,6.9,366,0,Snack,200,gluten-free,Fall,Pan-fried,Small
Veggie Burger Extra Protein (Extra Large portion),Protein/Vegetarian,207,18.7,16.1,6.8,2.5,4.7,88,0,Lunch,250,"vegetarian,vegan,gluten-free",Fall,Baked,Extra Large
Greek Yogurt Italian Style (Extra Large portion),Dairy,125,20.7,6.4,2.2,1.9,2.7,17,74,Breakfast,300,"high-protein,low-carb,gluten-free",All Year,Baked,Extra Large
Chicken Breast Asian Style (Small portion),Protein/Meat,136,22.5,0,2.7,0,0,87,36,Dinner,400,"high-protein,low-carb,gluten-free",Spring,Steamed,Small
Lentil Soup Asian Style (Extra Large portion),Meal/Legume,355,24.7,51,4.4,12.9,21.6,350,0,Lunch,350,"high-protein,gluten-free",Spring,Steamed,Extra Large
Scrambled Eggs with Vegetables (Small portion),Protein/Dairy,69,4,0.7,5,0.2,0.2,12,126,Breakfast,250,"low-carb,gluten-free",Summer,Baked,Small
Veggie Burger Mexican Style (Small portion),Protein/Vegetarian,91,7.4,7.3,2.6,1.5,1.5,249,0,Lunch,500,"low-carb,vegetarian,vegan",Fall,Baked,Small
Greek Yogurt Italian Style (Extra Large portion),Dairy,126,21,6.2,2.5,0.9,2.3,72,147,Breakfast,250,"high-protein,low-carb,gluten-free",Fall,Steamed,Extra Large
Quinoa Bowl Low-Carb (Small portion),Meal/Grain,288,11.3,38.1,8.9,8.7,17.1,636,0,Lunch,300,gluten-free,All Year,Pan-fried,Small
Vegetable Curry Mediterranean Style (Small portion),Meal/Vegetable,210,6.5,27.7,10.6,3.8,7.7,438,0,Dinner,500,gluten-free,Fall,Baked,Small
Salmon with Vegetables (Standard portion),Protein/Fish,216,27.3,0,13.3,0,0,146,91,Dinner,250,"high-protein,low-carb,gluten-free",Fall,Boiled,Standard
Vegetable Curry Spicy (Large portion),Meal/Vegetable,443,12.8,49.9,20.9,7.3,18.6,574,0,Dinner,500,gluten-free,Winter,Steamed,Large
Scrambled Eggs Mediterranean Style (Extra Large portion),Protein/Dairy,150,8.7,1.7,10.8,0.4,0.4,23,174,Breakfast,250,"low-carb,gluten-free",All Year,Roasted,Extra Large
Protein Bar Italian Style (Extra Large portion),Supplement/Processed,354,34.5,37.3,10.5,7.1,16.6,391,0,Snack,100,"high-protein,gluten-free",Spring,Steamed,Extra Large
Beef Steak Spicy (Standard portion),Protein/Meat,280,37.8,0,10.3,0,0,64,173,Dinner,350,"high-protein,low-carb,gluten-free",Spring,Raw,Standard
Greek Yogurt with Cheese (Large portion),Dairy,93,15.6,5.2,2.1,0.7,2.2,131,180,Breakfast,250,"low-carb,gluten-free",All Year,Pan-fried,Large
